location,bhk,built_up_area,transaction,status,furnishing,facing,bathroom,floor_category,luxury_category,price
sachin,3,1360,Resale,Ready to Move,Unfurnished,North - West,2,Mid Floor,Medium,0.22
dindoli,1,710,New Property,Ready to Move,Unfurnished,West,1,High Floor,Low,0.36
udhna,2,1100,Resale,Ready to Move,Unfurnished,North - West,1,Mid Floor,Medium,0.28
kamrej,1,672,Resale,Ready to Move,Unfurnished,North - West,1,Low Floor,Low,0.28
althan,2,1000,Resale,Ready to Move,Unfurnished,North - West,1,Mid Floor,Low,0.88
sarthana/varachha,1,400,Resale,Ready to Move,Unfurnished,North - West,1,Mid Floor,Low,0.45
athwalines,2,900,Resale,Ready to Move,Semi-Furnished,North - West,1,Mid Floor,Medium,1.26
kamrej,2,825,Resale,Ready to Move,Unfurnished,North - West,1,Mid Floor,Low,0.28
adajan,1,660,Resale,Ready to Move,Unfurnished,North - West,1,Mid Floor,Low,0.75
kamrej,1,528,Resale,Ready to Move,Unfurnished,North - West,1,Mid Floor,Low,0.28
kamrej,2,1197,Resale,Ready to Move,Unfurnished,North - West,1,Mid Floor,Medium,0.28
kamrej,1,775,Resale,Ready to Move,Unfurnished,North - West,1,Low Floor,Low,0.28
athwalines,1,750,Resale,Ready to Move,Unfurnished,North - West,1,Low Floor,Low,1.26
katargam,1,450,Resale,Ready to Move,Unfurnished,North - West,1,Low Floor,Low,0.32
palanpur,1,1100,Resale,Ready to Move,Semi-Furnished,West,1,Mid Floor,Low,0.54
dumas road/hazira,1,770,Resale,Ready to Move,Semi-Furnished,East,1,Mid Floor,Low,1.8
vesu,1,550,Resale,Ready to Move,Unfurnished,North - West,1,Mid Floor,Low,1.88
vesu,2,1500,Resale,Ready to Move,Furnished,North - West,1,Mid Floor,Medium,1.88
amroli,2,1102,Resale,Ready to Move,Unfurnished,North - West,1,Mid Floor,Medium,0.36
katargam,1,715,Resale,Ready to Move,Semi-Furnished,North - West,1,Low Floor,Low,0.32
nanpura/gopipura/chauta/sagrampura,2,900,Resale,Ready to Move,Semi-Furnished,North - West,1,Low Floor,Low,0.36
amroli,2,1099,Resale,Ready to Move,Semi-Furnished,North - East,1,Mid Floor,Medium,0.36
dumas road/hazira,2,1100,Resale,Ready to Move,Unfurnished,North - West,1,Low Floor,Low,1.8
sachin,1,550,Resale,Ready to Move,Unfurnished,North - West,1,Low Floor,Low,0.22
althan,2,1280,Resale,Ready to Move,Unfurnished,North - West,1,High Floor,Medium,0.88
udhna,1,750,Resale,Ready to Move,Semi-Furnished,North - West,1,Mid Floor,Low,0.28
katargam,2,1320,Resale,Ready to Move,Unfurnished,North - West,1,Mid Floor,Medium,0.32
amroli,2,1057,Resale,Ready to Move,Semi-Furnished,North - West,1,Mid Floor,Medium,0.36
udhna,1,500,Resale,Ready to Move,Unfurnished,West,1,High Floor,Low,0.28
dindoli,1,740,Resale,Ready to Move,Unfurnished,North - West,1,Mid Floor,Low,0.36
vesu,1,605,Resale,Ready to Move,Unfurnished,North - West,1,Mid Floor,Low,1.88
dindoli,2,1276,Resale,Ready to Move,Unfurnished,North - West,1,Low Floor,Low,0.36
vesu,1,495,Resale,Ready to Move,Unfurnished,North - West,1,Low Floor,Low,1.88
adajan,2,1300,Resale,Ready to Move,Semi-Furnished,North - West,1,Low Floor,Medium,0.75
udhna,2,1500,Resale,Ready to Move,Semi-Furnished,North - West,1,Mid Floor,Medium,0.28
amroli,2,800,Resale,Ready to Move,Unfurnished,North - West,1,Mid Floor,Low,0.36
kamrej,1,756,Resale,Ready to Move,Semi-Furnished,North - West,1,Mid Floor,Low,0.28
katargam,1,1,Resale,Ready to Move,Unfurnished,North - East,1,Low Floor,Low,0.32
palanpur,2,1251,New Property,Ready to Move,Unfurnished,East,1,Mid Floor,Medium,0.47
dindoli,3,836,New Property,Under Construction,Unfurnished,West,2,Mid Floor,Medium,0.4
palanpur,2,1351,New Property,Under Construction,Unfurnished,East,1,Mid Floor,Medium,0.59
jahangirpura,2,823,New Property,Under Construction,Unfurnished,East,1,Mid Floor,Low,0.44
pal,2,1283,New Property,Under Construction,Unfurnished,South -West,1,Mid Floor,Medium,0.58
pal,2,1127,Resale,Under Construction,Unfurnished,East,1,Mid Floor,Medium,0.45
palanpur,3,1018,New Property,Under Construction,Unfurnished,East,2,Mid Floor,Medium,0.57
dindoli,3,1735,Resale,Under Construction,Unfurnished,East,2,Mid Floor,Medium,0.49
palanpur,2,1062,Resale,Ready to Move,Semi-Furnished,South -West,1,Mid Floor,Medium,0.45
dindoli,1,810,New Property,Under Construction,Unfurnished,North - East,1,Mid Floor,Low,0.2
athwalines,2,1200,Resale,Ready to Move,Unfurnished,North - West,1,Mid Floor,Medium,0.45
pal,3,1595,Resale,Ready to Move,Semi-Furnished,East,2,Mid Floor,Medium,0.65
jahangirpura,2,894,New Property,Ready to Move,Unfurnished,East,1,Mid Floor,Low,0.39
pal,2,760,New Property,Ready to Move,Unfurnished,East,1,Mid Floor,Low,0.46
palanpur,3,1598,New Property,Ready to Move,Unfurnished,South -West,2,Mid Floor,Medium,0.53
althan,2,1305,New Property,Under Construction,Unfurnished,East,1,Mid Floor,Medium,0.48
palanpur,2,1105,Resale,Ready to Move,Unfurnished,South -West,1,Mid Floor,Medium,0.42
palanpur,2,1191,Resale,Ready to Move,Unfurnished,North - East,1,Mid Floor,Medium,0.36
palanpur,2,1290,Resale,Ready to Move,Furnished,East,1,Mid Floor,Medium,0.45
althan,2,706,New Property,Ready to Move,Unfurnished,East,1,Mid Floor,Low,0.46
althan,2,1252,New Property,Ready to Move,Unfurnished,East,1,Mid Floor,Medium,0.5
althan,2,1275,New Property,Under Construction,Unfurnished,East,1,Mid Floor,Medium,0.51
jahangirpura,2,800,New Property,Ready to Move,Unfurnished,East,1,Mid Floor,Low,0.39
palanpur,2,748,New Property,Ready to Move,Unfurnished,East,1,Mid Floor,Low,0.45
palanpur,2,1203,Resale,Ready to Move,Unfurnished,South -West,1,Mid Floor,Medium,0.42
jahangirpura,3,1652,New Property,Ready to Move,Unfurnished,East,2,Mid Floor,Medium,0.55
pal,3,1505,Resale,Ready to Move,Unfurnished,South -West,2,Mid Floor,Medium,0.46
jahangirpura,3,1900,Resale,Ready to Move,Unfurnished,South -West,2,Mid Floor,Medium,0.5
jahangirpura,3,88,Resale,Ready to Move,Unfurnished,North - West,2,Low Floor,Low,0.36
althan,2,1275,New Property,Under Construction,Unfurnished,East,1,Mid Floor,Medium,0.52
palanpur,2,1299,Resale,Ready to Move,Semi-Furnished,East,1,Mid Floor,Medium,0.56
punagam,2,1319,Resale,Ready to Move,Furnished,East,1,Mid Floor,Medium,0.55
pal,2,1326,Resale,Ready to Move,Unfurnished,North - West,1,Low Floor,Low,0.51
jahangirpura,2,770,New Property,Ready to Move,Unfurnished,East,1,Mid Floor,Low,0.47
althan,2,721,New Property,Under Construction,Unfurnished,East,1,Mid Floor,Low,0.57
palanpur,2,1200,Resale,Ready to Move,Unfurnished,East,1,Mid Floor,Medium,0.5
palanpur,2,825,Resale,Ready to Move,Semi-Furnished,East,1,Mid Floor,Medium,0.48
palanpur,2,1210,Resale,Ready to Move,Semi-Furnished,East,1,Low Floor,Medium,0.4
amroli,2,1236,New Property,Ready to Move,Unfurnished,East,1,Mid Floor,Medium,0.49
palanpur,2,1225,New Property,Ready to Move,Unfurnished,East,1,Mid Floor,Medium,0.53
palanpur,2,1340,Resale,Ready to Move,Semi-Furnished,East,1,Low Floor,Medium,0.56
adajan,2,880,Resale,Ready to Move,Furnished,North - West,1,Low Floor,Medium,0.38
jahangirpura,2,826,Resale,Ready to Move,Furnished,East,1,Mid Floor,Medium,0.55
pal,2,1290,New Property,Under Construction,Unfurnished,East,1,Mid Floor,Medium,0.57
dumas road/hazira,2,880,Resale,Ready to Move,Furnished,East,1,Mid Floor,Medium,0.5
jahangirpura,2,1182,Resale,Ready to Move,Semi-Furnished,North - West,1,Low Floor,Medium,0.32
sarthana/varachha,3,1700,Resale,Ready to Move,Unfurnished,North - West,2,Mid Floor,Medium,0.07
althan,3,1500,Resale,Ready to Move,Semi-Furnished,North - West,2,Low Floor,Medium,0.5
katargam,2,925,Resale,Ready to Move,Unfurnished,North - West,1,Mid Floor,Low,0.22
palanpur,1,350,Resale,Ready to Move,Unfurnished,East,1,Low Floor,Low,0.12
althan,2,1252,Resale,Ready to Move,Unfurnished,East,1,Mid Floor,Medium,0.45
palanpur,2,671,Resale,Ready to Move,Unfurnished,North - West,1,Mid Floor,Low,0.38
jahangirpura,2,1180,Resale,Ready to Move,Unfurnished,East,1,Mid Floor,Medium,0.28
dindoli,1,605,Resale,Ready to Move,Unfurnished,East,1,Mid Floor,Low,0.14
adajan,2,1155,Resale,Ready to Move,Unfurnished,North - West,1,Mid Floor,Medium,0.35
athwalines,1,675,Resale,Ready to Move,Semi-Furnished,East,1,Low Floor,Low,0.2
kadodara,2,682,Resale,Ready to Move,Unfurnished,North - East,1,Low Floor,Low,0.16
vesu,2,1250,Resale,Ready to Move,Unfurnished,North - West,1,Low Floor,Low,0.4
adajan,3,1601,Resale,Ready to Move,Unfurnished,North - West,2,Low Floor,Medium,0.53
palanpur,2,1173,New Property,Ready to Move,Furnished,East,1,Mid Floor,Medium,0.55
dindoli,2,725,New Property,Ready to Move,Unfurnished,East,1,Mid Floor,Low,0.3
palanpur,2,1215,New Property,Under Construction,Unfurnished,East,1,Mid Floor,Medium,0.52
palanpur,2,793,New Property,Under Construction,Unfurnished,East,1,Mid Floor,Low,0.56
palanpur,3,1384,New Property,Ready to Move,Unfurnished,East,2,Mid Floor,Medium,0.48
pal,2,1127,Resale,Under Construction,Unfurnished,East,1,High Floor,Medium,0.44
palanpur,2,1321,New Property,Under Construction,Unfurnished,East,1,Mid Floor,Medium,0.57
palanpur,1,719,Resale,Under Construction,Unfurnished,East,1,Mid Floor,Low,0.17
pal,3,1210,Resale,Ready to Move,Unfurnished,South -West,2,Mid Floor,Medium,0.6
dindoli,2,1170,New Property,Under Construction,Unfurnished,East,1,Mid Floor,Medium,0.32
jahangirpura,2,781,New Property,Ready to Move,Unfurnished,East,1,Low Floor,Low,0.47
palanpur,2,715,New Property,Ready to Move,Unfurnished,East,1,Mid Floor,Low,0.47
althan,2,1295,New Property,Ready to Move,Unfurnished,South -West,1,Mid Floor,Medium,0.56
althan,2,748,New Property,Ready to Move,Unfurnished,North - West,1,Mid Floor,Low,0.49
vesu,1,750,Resale,Ready to Move,Unfurnished,South - East,1,Low Floor,Low,0.22
palanpur,2,1246,Resale,Ready to Move,Unfurnished,North - East,1,Mid Floor,Medium,0.44
palanpur,2,1180,New Property,Ready to Move,Unfurnished,East,1,Mid Floor,Medium,0.44
dumas road/hazira,2,825,New Property,Under Construction,Unfurnished,East,1,Mid Floor,Low,0.55
althan,2,1252,New Property,Ready to Move,Unfurnished,South -West,1,Mid Floor,Medium,0.44
pal,2,847,Resale,Ready to Move,Unfurnished,East,1,High Floor,Medium,0.51
palanpur,1,440,Resale,Ready to Move,Semi-Furnished,South -West,1,Mid Floor,Low,0.28
palanpur,3,1566,Resale,Ready to Move,Semi-Furnished,North - West,2,Mid Floor,Medium,0.52
jahangirpura,2,1233,Resale,Ready to Move,Furnished,West,1,Mid Floor,Medium,0.47
althan,2,1391,New Property,Ready to Move,Unfurnished,West,1,High Floor,Medium,0.6
palanpur,2,1248,Resale,Ready to Move,Furnished,East,1,Mid Floor,Medium,0.49
dindoli,2,1445,Resale,Ready to Move,Unfurnished,East,1,High Floor,Medium,0.52
jahangirpura,2,770,New Property,Ready to Move,Unfurnished,East,1,Mid Floor,Low,0.43
althan,2,754,New Property,Under Construction,Unfurnished,North,1,Mid Floor,Low,0.46
althan,2,1252,Resale,Ready to Move,Unfurnished,East,1,Mid Floor,Medium,0.51
palanpur,2,825,Resale,Ready to Move,Unfurnished,East,1,Mid Floor,Low,0.38
jahangirpura,2,1248,Resale,Ready to Move,Semi-Furnished,East,1,Low Floor,Medium,0.35
jahangirpura,3,1609,Resale,Ready to Move,Unfurnished,East,2,Mid Floor,Medium,0.58
jahangirpura,2,1345,Resale,Ready to Move,Unfurnished,East,1,Mid Floor,Medium,0.5
adajan,4,1900,Resale,Ready to Move,Unfurnished,East,3,Mid Floor,Medium,0.6
palanpur,1,750,Resale,Ready to Move,Unfurnished,East,1,Mid Floor,Low,0.25
vesu,2,825,Resale,Ready to Move,Unfurnished,North - East,1,Mid Floor,Low,0.58
jahangirpura,2,1258,New Property,Ready to Move,Furnished,East,1,Mid Floor,Medium,0.52
palanpur,3,1625,Resale,Ready to Move,Unfurnished,South -West,2,Mid Floor,Medium,0.6
jahangirpura,2,1335,New Property,Under Construction,Unfurnished,East,1,Mid Floor,Medium,0.43
jahangirpura,2,1084,Resale,Ready to Move,Semi-Furnished,North - West,1,Low Floor,Low,0.3
udhna,1,715,Resale,Ready to Move,Semi-Furnished,North - West,1,Mid Floor,Low,0.14
palanpur,2,925,Resale,Ready to Move,Unfurnished,North - East,1,Mid Floor,Low,0.22
palanpur,2,1705,New Property,Ready to Move,Furnished,North - East,1,Mid Floor,Medium,0.41
kadodara,2,682,Resale,Ready to Move,Unfurnished,North - West,1,Low Floor,Low,0.15
jahangirpura,2,774,New Property,Under Construction,Unfurnished,East,1,Mid Floor,Low,0.44
palanpur,2,1269,New Property,Ready to Move,Unfurnished,East,1,Mid Floor,Medium,0.55
dindoli,2,757,New Property,Ready to Move,Unfurnished,East,1,Mid Floor,Low,0.32
palanpur,2,1225,New Property,Under Construction,Unfurnished,South - East,1,Mid Floor,Medium,0.52
palanpur,2,1225,New Property,Ready to Move,Unfurnished,East,1,Mid Floor,Medium,0.51
palanpur,2,792,New Property,Under Construction,Unfurnished,East,1,Mid Floor,Low,0.4
palanpur,2,1275,New Property,Ready to Move,Unfurnished,East,1,Mid Floor,Medium,0.51
palanpur,2,1045,Resale,Ready to Move,Unfurnished,South -West,1,Mid Floor,Low,0.53
dindoli,3,1381,New Property,Under Construction,Unfurnished,North - East,2,Mid Floor,Medium,0.37
palanpur,2,899,Resale,Ready to Move,Unfurnished,East,1,High Floor,Medium,0.34
jahangirpura,2,880,New Property,Under Construction,Unfurnished,East,1,Mid Floor,Low,0.42
dumas road/hazira,2,1156,New Property,Ready to Move,Unfurnished,South -West,1,Mid Floor,Medium,0.47
althan,2,771,New Property,Ready to Move,Unfurnished,North - East,1,Mid Floor,Low,0.52
althan,2,1270,Resale,Ready to Move,Unfurnished,East,1,High Floor,Medium,0.57
palanpur,2,1190,Resale,Ready to Move,Semi-Furnished,North,1,Mid Floor,Medium,0.47
dumas road/hazira,2,1290,New Property,Under Construction,Unfurnished,South -West,1,Mid Floor,Medium,0.58
althan,2,1252,New Property,Ready to Move,Unfurnished,East,1,High Floor,Medium,0.52
althan,2,1280,New Property,Under Construction,Unfurnished,East,1,Mid Floor,Medium,0.51
jahangirpura,3,1014,New Property,Ready to Move,Unfurnished,South -West,2,Mid Floor,Medium,0.55
jahangirpura,2,825,New Property,Ready to Move,Furnished,South -West,1,Mid Floor,Medium,0.53
jahangirpura,2,952,Resale,Ready to Move,Unfurnished,East,1,Mid Floor,Low,0.35
punagam,1,380,Resale,Ready to Move,Unfurnished,North - West,1,Mid Floor,Low,0.1
pal,2,1205,Resale,Ready to Move,Unfurnished,East,1,Mid Floor,Medium,0.47
dindoli,3,1500,Resale,Ready to Move,Unfurnished,East,2,Mid Floor,Medium,0.55
jahangirpura,2,1265,New Property,Under Construction,Unfurnished,South -West,1,Mid Floor,Medium,0.43
palanpur,2,600,Resale,Under Construction,Unfurnished,East,1,High Floor,Medium,0.34
palanpur,2,770,Resale,Ready to Move,Furnished,East,1,Mid Floor,Medium,0.42
palanpur,2,1260,Resale,Ready to Move,Semi-Furnished,East,1,Mid Floor,Medium,0.51
jahangirpura,1,735,Resale,Ready to Move,Unfurnished,East,1,Mid Floor,Low,0.28
pal,2,913,Resale,Ready to Move,Semi-Furnished,East,1,High Floor,Medium,0.55
palanpur,2,1175,Resale,Ready to Move,Furnished,East,1,Low Floor,Medium,0.42
vesu,2,798,Resale,Ready to Move,Unfurnished,North - East,1,Mid Floor,Low,0.6
amroli,2,748,New Property,Under Construction,Unfurnished,East,1,Mid Floor,Low,0.47
palanpur,2,1320,New Property,Under Construction,Unfurnished,South -West,1,Mid Floor,Medium,0.52
jahangirpura,2,1250,Resale,Ready to Move,Furnished,North - West,1,Low Floor,Medium,0.43
pal,1,860,Resale,Ready to Move,Unfurnished,East,1,Low Floor,Low,0.06
palanpur,3,1586,Resale,Ready to Move,Unfurnished,East,2,Mid Floor,Medium,0.59
dindoli,2,686,New Property,Ready to Move,Unfurnished,North - East,1,Mid Floor,Low,0.3
pal,3,1649,New Property,Under Construction,Unfurnished,East,2,Mid Floor,Medium,0.56
palanpur,2,795,New Property,Under Construction,Unfurnished,East,1,Mid Floor,Low,0.52
palanpur,3,1384,New Property,Ready to Move,Unfurnished,East,2,Mid Floor,Medium,0.49
palanpur,2,1275,New Property,Under Construction,Unfurnished,East,1,Mid Floor,Medium,0.49
pal,2,732,New Property,Under Construction,Unfurnished,East,1,Mid Floor,Low,0.51
jahangirpura,2,1015,Resale,Ready to Move,Unfurnished,East,1,Mid Floor,Low,0.35
pal,2,1100,Resale,Ready to Move,Unfurnished,South -West,1,Mid Floor,Medium,0.57
dindoli,3,1472,New Property,Under Construction,Unfurnished,East,2,Mid Floor,Medium,0.37
jahangirpura,3,1265,Resale,Ready to Move,Unfurnished,East,2,Mid Floor,Medium,0.44
jahangirpura,2,770,New Property,Ready to Move,Unfurnished,East,1,Mid Floor,Low,0.42
pal,2,778,New Property,Under Construction,Unfurnished,South -West,1,Mid Floor,Low,0.57
althan,2,772,New Property,Under Construction,Unfurnished,North - West,1,Mid Floor,Low,0.88
palanpur,2,1245,Resale,Ready to Move,Semi-Furnished,North - East,1,Low Floor,Medium,0.35
dumas road/hazira,2,1260,New Property,Under Construction,Unfurnished,South -West,1,Mid Floor,Medium,0.57
palanpur,2,1305,New Property,Ready to Move,Unfurnished,South - East,1,Mid Floor,Medium,0.48
althan,2,1274,New Property,Ready to Move,Unfurnished,East,1,Mid Floor,Medium,0.52
jahangirpura,2,715,Resale,Ready to Move,Furnished,South -West,1,Mid Floor,Medium,0.45
palanpur,2,1246,Resale,Ready to Move,Furnished,East,1,Mid Floor,Medium,0.5
palanpur,2,1150,Resale,Ready to Move,Semi-Furnished,East,1,Mid Floor,Medium,0.4
dindoli,2,1445,New Property,Under Construction,Unfurnished,East,1,Mid Floor,Medium,0.51
jahangirpura,3,1665,New Property,Under Construction,Unfurnished,South -West,2,Mid Floor,Medium,0.57
palanpur,3,990,Resale,Ready to Move,Semi-Furnished,South,2,Mid Floor,Medium,0.46
palanpur,1,813,New Property,Under Construction,Unfurnished,East,1,Mid Floor,Low,0.28
pal,2,1251,Resale,Ready to Move,Semi-Furnished,East,1,Mid Floor,Medium,0.56
pal,2,782,Resale,Ready to Move,Furnished,East,1,Mid Floor,Medium,0.55
adajan,2,1000,Resale,Ready to Move,Furnished,East,1,Low Floor,Medium,0.4
jahangirpura,2,1364,Resale,Ready to Move,Semi-Furnished,East,1,Mid Floor,Medium,0.53
althan,2,792,Resale,Ready to Move,Furnished,North - East,1,Mid Floor,Medium,0.55
palanpur,1,690,Resale,Ready to Move,Semi-Furnished,South -West,1,Low Floor,Low,0.26
jahangirpura,1,550,Resale,Ready to Move,Furnished,East,1,Mid Floor,Low,0.28
pal,3,1485,Resale,Ready to Move,Semi-Furnished,East,2,Mid Floor,Medium,0.55
palanpur,3,1690,Resale,Under Construction,Unfurnished,East,2,Mid Floor,Medium,0.6
palanpur,3,1690,New Property,Ready to Move,Unfurnished,East,2,Mid Floor,Medium,0.6
dindoli,2,660,New Property,Ready to Move,Unfurnished,North - East,1,Mid Floor,Low,0.29
jahangirpura,2,807,New Property,Under Construction,Unfurnished,East,1,Mid Floor,Low,0.45
palanpur,2,1250,Resale,Ready to Move,Unfurnished,East,1,Mid Floor,Medium,0.46
palanpur,1,466,New Property,Under Construction,Unfurnished,East,1,Mid Floor,Low,0.28
udhna,2,1100,Resale,Ready to Move,Furnished,East,1,Low Floor,Medium,0.29
pal,2,1100,Resale,Ready to Move,Unfurnished,South -West,1,Mid Floor,Medium,0.45
dindoli,2,1145,New Property,Under Construction,Unfurnished,North - East,1,Mid Floor,Medium,0.3
jahangirpura,1,404,New Property,Ready to Move,Unfurnished,East,1,High Floor,Low,0.29
dumas road/hazira,2,725,New Property,Ready to Move,Unfurnished,East,1,Mid Floor,Low,0.56
althan,2,1168,New Property,Ready to Move,Unfurnished,East,1,Mid Floor,Medium,0.47
palanpur,3,1518,Resale,Ready to Move,Semi-Furnished,North - East,2,Mid Floor,Medium,0.55
dumas road/hazira,2,1200,New Property,Under Construction,Unfurnished,South -West,1,Mid Floor,Medium,0.54
althan,2,1275,New Property,Ready to Move,Unfurnished,South - East,1,Mid Floor,Medium,0.51
vesu,2,1246,Resale,Ready to Move,Unfurnished,East,1,Mid Floor,Medium,0.41
palanpur,1,997,Resale,Ready to Move,Semi-Furnished,East,1,Mid Floor,Low,0.28
dindoli,2,798,New Property,Under Construction,Unfurnished,South -West,1,Mid Floor,Low,0.46
palanpur,2,715,New Property,Ready to Move,Unfurnished,East,1,Mid Floor,Low,0.53
jahangirpura,2,1278,New Property,Under Construction,Unfurnished,East,1,Mid Floor,Medium,0.45
pal,2,1300,New Property,Ready to Move,Unfurnished,East,1,Mid Floor,Medium,0.55
jahangirpura,2,698,Resale,Ready to Move,Unfurnished,West,1,Mid Floor,Low,0.4
adajan,2,1260,Resale,Ready to Move,Furnished,West,1,High Floor,Medium,0.6
jahangirpura,2,1364,Resale,Ready to Move,Semi-Furnished,North - West,1,Mid Floor,Medium,0.53
althan,2,784,Resale,Ready to Move,Unfurnished,North - East,1,Mid Floor,Low,0.44
palanpur,2,1159,Resale,Ready to Move,Unfurnished,East,1,Mid Floor,Medium,0.55
jahangirpura,2,1354,New Property,Ready to Move,Unfurnished,East,1,Mid Floor,Medium,0.48
palanpur,2,1250,Resale,Ready to Move,Unfurnished,East,1,Mid Floor,Medium,0.44
palanpur,2,1250,New Property,Ready to Move,Unfurnished,East,1,Mid Floor,Medium,0.44
dindoli,2,686,New Property,Ready to Move,Unfurnished,East,1,Mid Floor,Low,0.3
jahangirpura,2,1278,New Property,Under Construction,Unfurnished,East,1,Mid Floor,Medium,0.49
palanpur,2,790,New Property,Under Construction,Unfurnished,East,1,Mid Floor,Low,0.51
pal,2,792,New Property,Under Construction,Unfurnished,East,1,Mid Floor,Low,0.59
pal,3,1505,Resale,Ready to Move,Unfurnished,North - East,2,Mid Floor,Medium,0.48
pal,2,1155,Resale,Ready to Move,Unfurnished,South -West,1,Low Floor,Low,0.45
dindoli,3,1645,New Property,Under Construction,Unfurnished,North - East,2,Mid Floor,Medium,0.44
jahangirpura,3,1001,Resale,Ready to Move,Unfurnished,East,2,Low Floor,Medium,0.4
althan,2,704,New Property,Ready to Move,Unfurnished,East,1,Mid Floor,Low,0.44
jahangirpura,2,1280,New Property,Under Construction,Unfurnished,South -West,1,Mid Floor,Medium,0.42
adajan,2,1256,Resale,Ready to Move,Semi-Furnished,North - East,1,Mid Floor,Medium,0.34
althan,2,1250,New Property,Ready to Move,Semi-Furnished,East,1,Mid Floor,Medium,0.55
althan,2,1276,New Property,Ready to Move,Unfurnished,East,1,Mid Floor,Medium,0.52
palanpur,3,869,New Property,Ready to Move,Unfurnished,East,2,Mid Floor,Medium,0.54
palanpur,2,1180,Resale,Ready to Move,Unfurnished,East,1,Mid Floor,Medium,0.41
dindoli,2,795,New Property,Ready to Move,Unfurnished,South - East,1,Mid Floor,Low,0.44
palanpur,1,550,Resale,Ready to Move,Semi-Furnished,East,1,Mid Floor,Low,0.23
palanpur,2,1250,New Property,Under Construction,Unfurnished,East,1,Mid Floor,Medium,0.45
jahangirpura,2,1219,Resale,Ready to Move,Unfurnished,East,1,Mid Floor,Medium,0.44
palanpur,2,1180,Resale,Ready to Move,Furnished,East,1,Mid Floor,Medium,0.59
adajan,2,1100,Resale,Ready to Move,Unfurnished,South,1,Mid Floor,Medium,0.38
jahangirpura,2,1251,Resale,Ready to Move,Furnished,East,1,Mid Floor,Medium,0.35
althan,2,708,New Property,Ready to Move,Unfurnished,North - East,1,Mid Floor,Low,0.58
jahangirpura,2,1050,Resale,Ready to Move,Unfurnished,East,1,Mid Floor,Low,0.35
palanpur,2,1315,New Property,Under Construction,Unfurnished,East,1,Mid Floor,Medium,0.51
jahangirpura,3,1045,Resale,Ready to Move,Furnished,East,2,Mid Floor,Medium,0.23
jahangirpura,2,813,New Property,Ready to Move,Unfurnished,East,1,Mid Floor,Low,0.48
palanpur,2,1190,New Property,Ready to Move,Unfurnished,East,1,Mid Floor,Medium,0.48
dindoli,2,644,New Property,Ready to Move,Unfurnished,West,1,Low Floor,Low,0.28
jahangirpura,2,1280,New Property,Under Construction,Unfurnished,East,1,Mid Floor,Medium,0.44
jahangirpura,3,1041,New Property,Under Construction,Unfurnished,East,2,Mid Floor,Medium,0.59
jahangirpura,2,1178,New Property,Under Construction,Unfurnished,East,1,Mid Floor,Medium,0.36
palanpur,2,825,New Property,Under Construction,Unfurnished,North - West,1,High Floor,Medium,0.42
pal,2,1201,Resale,Ready to Move,Unfurnished,West,1,Mid Floor,Medium,0.38
palanpur,2,1046,Resale,Ready to Move,Unfurnished,South -West,1,High Floor,Medium,0.51
palanpur,1,813,New Property,Under Construction,Unfurnished,North - East,1,Mid Floor,Low,0.28
jahangirpura,2,757,New Property,Ready to Move,Unfurnished,East,1,Low Floor,Low,0.5
adajan,2,803,New Property,Under Construction,Unfurnished,East,1,Mid Floor,Low,0.56
jahangirpura,3,1625,New Property,Under Construction,Unfurnished,South -West,2,Mid Floor,Medium,0.53
palanpur,3,1540,Resale,Ready to Move,Furnished,North - East,2,Mid Floor,Medium,0.6
amroli,2,975,New Property,Under Construction,Unfurnished,South - East,1,Mid Floor,Low,0.32
althan,2,1241,New Property,Under Construction,Unfurnished,East,1,Mid Floor,Medium,0.45
pal,2,1251,Resale,Ready to Move,Semi-Furnished,South -West,1,High Floor,Medium,0.57
althan,2,1320,Resale,Ready to Move,Unfurnished,East,1,High Floor,Medium,0.6
palanpur,2,1203,New Property,Ready to Move,Unfurnished,South -West,1,Mid Floor,Medium,0.53
jahangirpura,2,1258,New Property,Ready to Move,Furnished,East,1,Mid Floor,Medium,0.55
jahangirpura,2,1285,Resale,Ready to Move,Semi-Furnished,East,1,High Floor,Medium,0.49
adajan,2,1250,Resale,Ready to Move,Semi-Furnished,East,1,Mid Floor,Medium,0.4
jahangirpura,2,1155,Resale,Ready to Move,Unfurnished,East,1,Mid Floor,Medium,0.45
althan,2,733,Resale,Ready to Move,Unfurnished,North - East,1,Mid Floor,Low,0.56
pal,2,1200,Resale,Ready to Move,Unfurnished,East,1,Mid Floor,Medium,0.45
palanpur,1,440,Resale,Ready to Move,Furnished,East,1,Mid Floor,Low,0.3
adajan,1,715,Resale,Ready to Move,Semi-Furnished,East,1,Mid Floor,Low,0.23
jahangirpura,3,982,Resale,Under Construction,Unfurnished,East,2,Mid Floor,Medium,0.57
palanpur,2,1225,New Property,Ready to Move,Unfurnished,East,1,Mid Floor,Medium,0.52
dindoli,2,737,New Property,Ready to Move,Unfurnished,East,1,Mid Floor,Low,0.31
jahangirpura,2,1340,New Property,Under Construction,Unfurnished,East,1,Mid Floor,Medium,0.52
palanpur,2,726,New Property,Under Construction,Unfurnished,East,1,Mid Floor,Low,0.37
palanpur,3,1586,New Property,Under Construction,Unfurnished,East,2,Mid Floor,Medium,0.6
palanpur,2,798,New Property,Ready to Move,Unfurnished,West,1,Mid Floor,Low,0.47
