location,bhk,areaType,square_feet,transaction,status,floorNum,totalFloor,furnishing,facing,price_per_sqft,price,built_up_area,latitude,longitude
palanpur,2,Super Area,1200,Resale,Ready to Move,4.0,4.0,Semi-Furnished,North - West,2500.0,0.3,1200,21.2184934,72.7777979
palanpur,1,Carpet Area,575,Resale,Ready to Move,3.0,4.0,Semi-Furnished,North - West,3833.0,0.23,632,21.2184934,72.7777979
palanpur,2,Carpet Area,700,Resale,Ready to Move,2.0,6.0,Unfurnished,North - West,2636.0,0.29,770,21.2184934,72.7777979
palanpur,2,Carpet Area,750,Resale,Ready to Move,7.0,14.0,Unfurnished,North - West,3440.0,0.43,825,21.2184934,72.7777979
palanpur,1,Super Area,580,Resale,Ready to Move,8.0,8.0,Semi-Furnished,North - East,2759.0,0.16,580,21.2184934,72.7777979
palanpur,1,Super Area,851,Resale,Ready to Move,4.0,4.0,Unfurnished,North - West,2761.0,0.23,851,21.2184934,72.7777979
palanpur,1,Super Area,575,Resale,Ready to Move,2.0,4.0,Unfurnished,North - West,2783.0,0.16,575,21.2184934,72.7777979
palanpur,2,Super Area,1311,Resale,Under Construction,-2.0,4.0,Unfurnished,East,4577.0,0.6,1311,21.2184934,72.7777979
palanpur,2,Carpet Area,700,Resale,Ready to Move,4.0,5.0,Semi-Furnished,North - West,6428.571428571428,0.45,770,21.2184934,72.7777979
palanpur,2,Carpet Area,850,Resale,Ready to Move,5.0,5.0,Semi-Furnished,South,3361.0,0.4,935,21.2184934,72.7777979
palanpur,1,Super Area,660,Resale,Ready to Move,4.0,5.0,Unfurnished,North - West,3030.0,0.2,660,21.2184934,72.7777979
palanpur,2,Super Area,850,Resale,Ready to Move,4.0,5.0,Unfurnished,North - West,2000.0,0.17,850,21.2184934,72.7777979
palanpur,2,Super Area,1300,Resale,Ready to Move,1.0,12.0,Semi-Furnished,North - West,3077.0,0.4,1300,21.2184934,72.7777979
palanpur,2,Carpet Area,878,Resale,Ready to Move,1.0,7.0,Unfurnished,North - West,3304.0,0.38,966,21.2184934,72.7777979
palanpur,1,Carpet Area,364,Resale,Ready to Move,-1.0,5.0,Unfurnished,North - West,3021.978021978022,0.11,400,21.2184934,72.7777979
palanpur,2,Super Area,1185,Resale,Ready to Move,9.0,10.0,Unfurnished,South - East,4641.0,0.55,1185,21.2184934,72.7777979
palanpur,2,Super Area,1200,Resale,Ready to Move,2.0,4.0,Semi-Furnished,North - West,2583.0,0.31,1200,21.2184934,72.7777979
palanpur,2,Carpet Area,1100,Resale,Ready to Move,3.0,4.0,Unfurnished,North - West,3760.0,0.47,1210,21.2184934,72.7777979
palanpur,1,Super Area,450,Resale,Ready to Move,2.0,5.0,Unfurnished,North - West,3333.0,0.15,450,21.2184934,72.7777979
palanpur,2,Carpet Area,900,Resale,Ready to Move,1.0,1.0,Semi-Furnished,East,4444.444444444444,0.4,990,21.2184934,72.7777979
palanpur,2,Carpet Area,775,Resale,Ready to Move,3.0,4.0,Unfurnished,East,3759.0,0.45,853,21.2184934,72.7777979
palanpur,1,Super Area,630,Resale,Ready to Move,1.0,4.0,Unfurnished,East,3333.0,0.21,630,21.2184934,72.7777979
