location,bhk,areaType,square_feet,transaction,status,floorNum,totalFloor,furnishing,facing,price_per_sqft,price
amroli,2.0,Super Area,650,Resale,Ready to Move,2.0,3.0,Unfurnished,,2000.0,0.13
NA,1.0,Carpet Area,530,Resale,Ready to Move,1.0,3.0,Unfurnished,North - East,2714.0,0.19
udhna,3.0,Super Area,1600,Resale,Ready to Move,4.0,5.0,Semi-Furnished,,1562.0,0.25
dumas road/hazira,3.0,Super Area,1650,New Property,Ready to Move,2.0,4.0,Furnished,South -West,3091.0,0.51
NA,2.0,Carpet Area,1150,Resale,Ready to Move,4.0,4.0,Unfurnished,,3288.0,0.6
adajan,2.0,Carpet Area,970,Resale,Ready to Move,4.0,10.0,Unfurnished,West,2667.0,0.32
amroli,3.0,Super Area,1300,Resale,Ready to Move,1.0,4.0,Unfurnished,South,3077.0,0.4
NA,2.0,Carpet Area,600,Resale,Ready to Move,1.0,5.0,Semi-Furnished,,3487.0,0.37
NA,2.0,Super Area,865,Resale,Ready to Move,10.0,12.0,Semi-Furnished,,4740.0,0.41
adajan,3.0,Super Area,1200,Resale,Ready to Move,2.0,4.0,Furnished,,3750.0,0.45
athwalines,2.0,Super Area,1100,Resale,Ready to Move,6.0,11.0,Semi-Furnished,,4364.0,0.48
punagam,2.0,Super Area,1275,Resale,Ready to Move,13.0,13.0,Furnished,,3608.0,0.46
punagam,2.0,Super Area,1284,Resale,Ready to Move,2.0,13.0,Semi-Furnished,,2336.0,0.3
althan,2.0,Super Area,950,Resale,Ready to Move,1.0,4.0,Furnished,,6316.0,0.6
katargam,2.0,Super Area,1050,Resale,Ready to Move,2.0,5.0,Furnished,,3714.0,0.39
NA,2.0,Super Area,973,Resale,Ready to Move,-1.0,14.0,Unfurnished,,3444.0,0.34
adajan,2.0,Super Area,800,Resale,Ready to Move,2.0,3.0,Unfurnished,,7500.0,0.6
NA,2.0,Super Area,950,Resale,Ready to Move,3.0,6.0,Semi-Furnished,North,3158.0,0.3
NA,2.0,Carpet Area,1050,Resale,Ready to Move,4.0,4.0,Furnished,,3333.0,0.35
sachin,1.0,Super Area,466,Resale,Ready to Move,1.0,5.0,Semi-Furnished,,2253.0,0.1
dumas road/hazira,2.0,Carpet Area,650,Resale,Ready to Move,3.0,4.0,Semi-Furnished,West,4000.0,0.34
adajan,3.0,Carpet Area,1200,Resale,Ready to Move,3.0,5.0,Semi-Furnished,East,3937.0,0.65
althan,2.0,Carpet Area,670,Resale,Ready to Move,6.0,15.0,Unfurnished,South - East,4393.0,0.55
vesu,2.0,Super Area,1260,Resale,Ready to Move,9.0,9.0,Furnished,,3968.0,0.5
udhna,1.0,Super Area,799,Resale,Ready to Move,1.0,5.0,Semi-Furnished,,1627.0,0.13
althan,2.0,Carpet Area,750,Resale,Ready to Move,9.0,14.0,Furnished,North - East,4640.0,0.58
sarthana/varachha,2.0,Super Area,750,Resale,Ready to Move,1.0,5.0,Semi-Furnished,,2667.0,0.2
kamrej,1.0,Super Area,710,Resale,Ready to Move,3.0,6.0,Unfurnished,,1831.0,0.13
katargam,2.0,Carpet Area,500,Resale,Ready to Move,3.0,4.0,Unfurnished,West,2500.0,0.23
pal,2.0,Super Area,1127,Resale,Ready to Move,16.0,19.0,Unfurnished,East,4259.0,0.48
NA,1.0,Super Area,500,Resale,Ready to Move,4.0,4.0,Semi-Furnished,,3000.0,0.15
nanpura/gopipura/chauta/sagrampura,1.0,Super Area,400,Resale,Ready to Move,9.0,9.0,Furnished,East,2500.0,0.1
NA,1.0,Super Area,555,Resale,Ready to Move,3.0,4.0,Unfurnished,North - East,1532.0,0.09
palanpur,1.0,Super Area,625,Resale,Ready to Move,3.0,5.0,Unfurnished,,2720.0,0.17
adajan,2.0,Super Area,1275,Resale,Ready to Move,5.0,6.0,Furnished,,3137.0,0.4
katargam,2.0,Super Area,730,Resale,Undefined,2.0,4.0,Unfurnished,East,1918.0,0.14
athwalines,2.0,Carpet Area,1060,New Property,Ready to Move,3.0,9.0,Furnished,East,4800.0,0.6
palanpur,1.0,Carpet Area,449,Resale,Ready to Move,3.0,5.0,Semi-Furnished,South,3582.0,0.24
althan,2.0,Carpet Area,1205,Resale,Ready to Move,1.0,13.0,Furnished,North - East,6500.0,0.52
nanpura/gopipura/chauta/sagrampura,1.0,Carpet Area,551,Resale,Ready to Move,2.0,5.0,Semi-Furnished,,2632.0,0.14
dindoli,2.0,Carpet Area,1150,Resale,Ready to Move,3.0,5.0,Unfurnished,South - East,2917.0,0.35
jahangirpura,2.0,Super Area,484,Resale,Ready to Move,8.0,13.0,Semi-Furnished,,3719.0,0.18
nanpura/gopipura/chauta/sagrampura,2.0,Super Area,1050,Resale,Ready to Move,2.0,6.0,Semi-Furnished,,2571.0,0.27
palanpur,1.0,Super Area,730,Resale,Ready to Move,5.0,5.0,Unfurnished,West,3151.0,0.23
udhna,1.0,Carpet Area,34,Resale,Ready to Move,0.0,7.0,Unfurnished,,25000.0,0.09
dumas road/hazira,3.0,Super Area,1355,Resale,Ready to Move,5.0,7.0,Unfurnished,South,3100.0,0.42
dumas road/hazira,2.0,Super Area,900,Resale,Ready to Move,1.0,7.0,Semi-Furnished,,3501.0,0.32
palanpur,1.0,Super Area,700,Resale,Ready to Move,3.0,3.0,Unfurnished,,1071.0,0.07
bardoli,2.0,Super Area,1100,Resale,Ready to Move,3.0,6.0,Unfurnished,,1455.0,0.16
katargam,2.0,Carpet Area,960,Resale,Ready to Move,2.0,4.0,Furnished,,2604.0,0.25
palanpur,1.0,Super Area,700,Resale,Ready to Move,3.0,5.0,Furnished,,3501.0,0.24
dindoli,2.0,Carpet Area,1050,Resale,Ready to Move,8.0,9.0,Furnished,East,4234.0,0.29
nanpura/gopipura/chauta/sagrampura,1.0,Carpet Area,625,New Property,Ready to Move,3.0,3.0,Semi-Furnished,East,2857.0,0.2
athwalines,3.0,Carpet Area,960,Resale,Ready to Move,1.0,3.0,Semi-Furnished,,4167.0,0.5
nanpura/gopipura/chauta/sagrampura,2.0,Carpet Area,855,Resale,Ready to Move,3.0,4.0,Semi-Furnished,West,2527.0,0.3
dumas road/hazira,2.0,Super Area,1380,Resale,Ready to Move,7.0,10.0,Semi-Furnished,,4348.0,0.6
pal,3.0,Carpet Area,1100,Resale,Ready to Move,5.0,12.0,Unfurnished,,3593.0,0.6
udhna,2.0,Super Area,975,Resale,Ready to Move,1.0,1.0,Unfurnished,,2554.0,0.25
athwalines,1.0,Carpet Area,350,Resale,Ready to Move,2.0,4.0,Unfurnished,,2667.0,0.1
adajan,1.0,Super Area,895,Resale,Ready to Move,4.0,4.0,Unfurnished,,2180.0,0.2
althan,2.0,Carpet Area,934,Resale,Ready to Move,7.0,12.0,Furnished,East,4380.0,0.6
NA,3.0,Carpet Area,900,New Property,Ready to Move,0.0,13.0,Semi-Furnished,East,2909.0,0.32
pal,2.0,Super Area,1300,Resale,Ready to Move,3.0,5.0,Semi-Furnished,East,3462.0,0.45
adajan,2.0,Super Area,1405,Resale,Ready to Move,4.0,4.0,Furnished,North - West,3203.0,0.45
amroli,1.0,Super Area,775,Resale,Ready to Move,1.0,4.0,Unfurnished,,1161.0,0.09
althan,1.0,Carpet Area,650,Resale,Ready to Move,3.0,3.0,Semi-Furnished,East,,0.22
palanpur,2.0,Super Area,1250,Resale,Ready to Move,11.0,12.0,Semi-Furnished,East,3280.0,0.41
katargam,2.0,Super Area,1250,Resale,Ready to Move,3.0,5.0,Semi-Furnished,,2616.0,0.33
nanpura/gopipura/chauta/sagrampura,1.0,Super Area,275,Resale,Ready to Move,3.0,5.0,Unfurnished,,3636.0,0.1
palanpur,3.0,Super Area,1200,Resale,Ready to Move,8.0,8.0,Furnished,,2917.0,0.35
jahangirpura,2.0,Super Area,1075,Resale,Ready to Move,1.0,5.0,Semi-Furnished,,2791.0,0.3
vesu,2.0,Super Area,1283,Resale,Ready to Move,1.0,8.0,Semi-Furnished,,4287.0,0.55
athwalines,1.0,Super Area,675,Resale,Ready to Move,2.0,10.0,Semi-Furnished,East,3259.0,0.22
jahangirpura,2.0,Carpet Area,880,New Property,Ready to Move,1.0,5.0,Semi-Furnished,West,2564.0,0.3
vesu,3.0,Super Area,1525,Resale,Ready to Move,4.0,9.0,Semi-Furnished,,4262.0,0.65
palanpur,2.0,Carpet Area,1173,Resale,Ready to Move,14.0,14.0,Unfurnished,East,4007.0,0.47
adajan,2.0,Super Area,975,Resale,Ready to Move,7.0,9.0,Semi-Furnished,East,2871.0,0.28
kadodara,2.0,Carpet Area,650,Resale,Ready to Move,2.0,5.0,Unfurnished,,2346.0,0.16
jahangirpura,1.0,Super Area,740,Resale,Ready to Move,4.0,5.0,Semi-Furnished,North,2973.0,0.22
athwalines,2.0,Carpet Area,900,Resale,Ready to Move,1.0,4.0,Semi-Furnished,South,,0.38
vesu,2.0,Super Area,1220,Resale,Ready to Move,13.0,15.0,Unfurnished,,4262.0,0.52
punagam,1.0,Super Area,800,Resale,Ready to Move,2.0,6.0,Unfurnished,,2500.0,0.2
vesu,2.0,Super Area,1250,Resale,Ready to Move,1.0,4.0,Furnished,,3200.0,0.4
althan,3.0,Super Area,1651,Resale,Ready to Move,7.0,7.0,Furnished,,3695.0,0.61
NA,2.0,Carpet Area,635,Resale,Ready to Move,1.0,5.0,Furnished,North - East,2834.0,0.28
punagam,1.0,Super Area,600,Resale,Ready to Move,3.0,8.0,Furnished,South - East,3000.0,0.18
sarthana/varachha,2.0,Super Area,800,Resale,Ready to Move,3.0,4.0,Unfurnished,,1312.0,0.1
adajan,3.0,Carpet Area,1500,Resale,Ready to Move,1.0,11.0,Unfurnished,,,0.52
amroli,2.0,Super Area,1013,Resale,Ready to Move,5.0,5.0,Semi-Furnished,East,2566.0,0.26
adajan,2.0,Super Area,960,Resale,Ready to Move,4.0,4.0,Unfurnished,East,2708.0,0.26
adajan,1.0,Carpet Area,450,Resale,Ready to Move,1.0,5.0,Unfurnished,,3909.0,0.21
adajan,2.0,Carpet Area,650,Resale,Ready to Move,4.0,4.0,Semi-Furnished,,28242.0,0.17
athwalines,2.0,Carpet Area,1100,Resale,Ready to Move,2.0,4.0,Semi-Furnished,East,,0.35
adajan,2.0,Carpet Area,1150,Resale,Ready to Move,6.0,7.0,Unfurnished,,,0.39
althan,2.0,Super Area,1100,Resale,Ready to Move,6.0,8.0,Semi-Furnished,,4091.0,0.45
adajan,2.0,Super Area,1250,Resale,Ready to Move,2.0,4.0,Furnished,,3600.0,0.45
adajan,2.0,Carpet Area,670,Resale,Ready to Move,10.0,10.0,Unfurnished,East,3667.0,0.33
althan,2.0,Super Area,1252,Resale,Ready to Move,11.0,15.0,Unfurnished,,3674.0,0.46
athwalines,1.0,Super Area,600,Resale,Ready to Move,2.0,4.0,Unfurnished,South -West,2667.0,0.16
nanpura/gopipura/chauta/sagrampura,1.0,Carpet Area,400,Resale,Ready to Move,3.0,6.0,Unfurnished,,3818.0,0.21
althan,2.0,Carpet Area,796,Resale,Ready to Move,8.0,11.0,Furnished,South -West,4027.0,0.54
jahangirpura,2.0,Carpet Area,486,Resale,Ready to Move,8.0,14.0,Unfurnished,East,2533.0,0.19
althan,3.0,Super Area,1300,Resale,Ready to Move,2.0,5.0,Unfurnished,,4615.0,0.6
NA,1.0,Super Area,550,Resale,Ready to Move,1.0,4.0,Unfurnished,,2000.0,0.11
udhna,2.0,Super Area,900,Resale,Ready to Move,1.0,3.0,Semi-Furnished,,2667.0,0.24
athwalines,2.0,Carpet Area,900,Resale,Ready to Move,4.0,4.0,Semi-Furnished,,3000.0,0.27
NA,2.0,Super Area,925,Resale,Ready to Move,3.0,5.0,Semi-Furnished,,2486.0,0.23
althan,2.0,Super Area,1230,New Property,Ready to Move,13.0,13.0,Semi-Furnished,South -West,4146.0,0.51
althan,2.0,Super Area,1000,Resale,Ready to Move,3.0,4.0,Unfurnished,,3800.0,0.38
dindoli,1.0,Super Area,350,Resale,Ready to Move,4.0,4.0,Unfurnished,,2857.0,0.1
athwalines,2.0,Super Area,1300,Resale,Ready to Move,2.0,11.0,Semi-Furnished,,4615.0,0.6
jahangirpura,2.0,Super Area,1187,New Property,Ready to Move,4.0,5.0,Semi-Furnished,North - West,2485.0,0.29
punagam,2.0,Super Area,700,Resale,Ready to Move,2.0,3.0,Semi-Furnished,,3143.0,0.22
vesu,3.0,Super Area,1150,Resale,Ready to Move,2.0,4.0,Unfurnished,,5217.0,0.6
nanpura/gopipura/chauta/sagrampura,2.0,Carpet Area,600,Resale,Ready to Move,5.0,5.0,Unfurnished,North,,0.2
adajan,2.0,Carpet Area,935,Resale,Ready to Move,0.0,4.0,Semi-Furnished,,,0.35
palanpur,1.0,Super Area,750,Resale,Ready to Move,7.0,10.0,Unfurnished,East,3000.0,0.23
jahangirpura,2.0,Super Area,1252,Resale,Ready to Move,3.0,14.0,Semi-Furnished,,2955.0,0.37
adajan,2.0,Carpet Area,1000,Resale,Ready to Move,3.0,5.0,Unfurnished,,2796.0,0.35
adajan,1.0,Super Area,812,Resale,Ready to Move,2.0,4.0,Furnished,,2217.0,0.18
adajan,2.0,Super Area,1100,Resale,Ready to Move,3.0,5.0,Unfurnished,,3182.0,0.35
sachin,3.0,Carpet Area,1175,Resale,Ready to Move,4.0,5.0,Unfurnished,East,,
nanpura/gopipura/chauta/sagrampura,2.0,Carpet Area,1100,Resale,Ready to Move,5.0,5.0,Semi-Furnished,North,,
vesu,1.0,Carpet Area,366,Resale,Ready to Move,2.0,8.0,Unfurnished,,,
adajan,1.0,Carpet Area,700,Resale,Ready to Move,1.0,4.0,Unfurnished,,,
kamrej,2.0,Super Area,1056,Resale,Ready to Move,3.0,5.0,Unfurnished,,,
amroli,2.0,Super Area,760,Resale,Ready to Move,1.0,1.0,Unfurnished,East,,
nanpura/gopipura/chauta/sagrampura,2.0,Carpet Area,820,Resale,Ready to Move,4.0,9.0,Furnished,West,,
udhna,1.0,Super Area,336,Resale,Ready to Move,3.0,3.0,Semi-Furnished,,,
nanpura/gopipura/chauta/sagrampura,2.0,Carpet Area,1000,Resale,Ready to Move,2.0,3.0,Semi-Furnished,,,
amroli,2.0,Super Area,1000,Resale,Ready to Move,4.0,6.0,Semi-Furnished,,,
kadodara,1.0,Super Area,500,Resale,Ready to Move,2.0,5.0,Unfurnished,,,
udhna,1.0,Super Area,700,Resale,Ready to Move,4.0,4.0,Furnished,East,,
punagam,2.0,Super Area,900,Resale,Ready to Move,3.0,5.0,Unfurnished,,,
udhna,1.0,Carpet Area,635,Resale,Ready to Move,4.0,4.0,Furnished,East,,
nanpura/gopipura/chauta/sagrampura,2.0,Carpet Area,960,Resale,Ready to Move,1.0,4.0,Unfurnished,East,,
dindoli,2.0,Super Area,925,Resale,Ready to Move,,,,,,
NA,2.0,Carpet Area,958,Resale,Ready to Move,2.0,6.0,Semi-Furnished,North - East,,
sachin,2.0,Carpet Area,800,Resale,Ready to Move,3.0,3.0,Semi-Furnished,,,
NA,1.0,Carpet Area,700,Resale,Ready to Move,4.0,4.0,Semi-Furnished,,,
NA,2.0,Super Area,1095,Resale,Ready to Move,8.0,13.0,Semi-Furnished,,,
nanpura/gopipura/chauta/sagrampura,1.0,Super Area,510,Resale,Ready to Move,2.0,4.0,Unfurnished,,,
NA,3.0,Carpet Area,950,Resale,Ready to Move,3.0,3.0,Unfurnished,,,
kamrej,1.0,Super Area,603,Resale,Ready to Move,1.0,5.0,Unfurnished,,,
adajan,3.0,Super Area,1688,Resale,Ready to Move,1.0,5.0,Semi-Furnished,,,
dindoli,1.0,Super Area,600,Resale,Ready to Move,5.0,5.0,Unfurnished,,,
amroli,2.0,Super Area,750,Resale,Ready to Move,2.0,10.0,Unfurnished,,,
kamrej,1.0,Super Area,550,Resale,Ready to Move,3.0,5.0,Unfurnished,,,
udhna,2.0,Super Area,1000,Resale,Ready to Move,2.0,3.0,Semi-Furnished,,,
dumas road/hazira,2.0,Super Area,1104,Resale,Ready to Move,5.0,6.0,Unfurnished,,,
NA,1.0,Super Area,350,Resale,Ready to Move,2.0,5.0,Unfurnished,,,
kamrej,2.0,Super Area,1000,Resale,Ready to Move,3.0,6.0,Unfurnished,,,
NA,1.0,Carpet Area,900,,Ready to Move,2.0,5.0,Unfurnished,,,
adajan,2.0,Super Area,"395,009",Resale,Ready to Move,,,,,,
udhna,1.0,Carpet Area,522,Resale,Ready to Move,1.0,3.0,Unfurnished,South - East,,
althan,1.0,Super Area,860,Resale,Ready to Move,4.0,4.0,Semi-Furnished,,,
NA,1.0,Carpet Area,700,Resale,Ready to Move,1.0,4.0,Unfurnished,,,
NA,1.0,Carpet Area,400,Resale,Ready to Move,3.0,5.0,Unfurnished,North - East,,
amroli,2.0,Carpet Area,721,Resale,Under Construction,9.0,14.0,Unfurnished,East,,
katargam,1.0,Super Area,700,Resale,Ready to Move,0.0,4.0,Unfurnished,East,,
NA,2.0,Carpet Area,1000,Resale,Ready to Move,4.0,4.0,Unfurnished,,,
kadodara,1.0,Carpet Area,684,Resale,Ready to Move,0.0,5.0,Unfurnished,,,
udhna,1.0,Carpet Area,845,Resale,Ready to Move,4.0,11.0,Semi-Furnished,East,,
udhna,2.0,Super Area,1010,Resale,Ready to Move,2.0,5.0,Semi-Furnished,,,
kamrej,1.0,Carpet Area,425,Resale,Ready to Move,2.0,5.0,Unfurnished,North,,
kadodara,1.0,Super Area,400,Resale,Ready to Move,3.0,5.0,Semi-Furnished,,,
katargam,1.0,Carpet Area,690,Resale,Ready to Move,3.0,4.0,Semi-Furnished,,,
sachin,2.0,Carpet Area,975,Resale,Ready to Move,3.0,6.0,Unfurnished,,,
dindoli,2.0,Super Area,1225,Resale,Ready to Move,1.0,5.0,Unfurnished,,,
NA,2.0,Carpet Area,850,Resale,Ready to Move,4.0,5.0,Unfurnished,,,
kamrej,2.0,Super Area,1200,Resale,Ready to Move,6.0,7.0,Furnished,South -West,,
bardoli,1.0,Carpet Area,700,Resale,Ready to Move,5.0,5.0,Semi-Furnished,,,
udhna,2.0,Super Area,1180,Resale,Ready to Move,12.0,13.0,Semi-Furnished,,,
kamrej,1.0,Super Area,703,Resale,Ready to Move,1.0,6.0,Unfurnished,,,
sachin,1.0,Super Area,520,Resale,Ready to Move,1.0,5.0,Unfurnished,,,
nanpura/gopipura/chauta/sagrampura,2.0,Super Area,1100,Resale,Ready to Move,2.0,5.0,Furnished,,,
athwalines,2.0,Carpet Area,1100,Resale,Ready to Move,2.0,3.0,Semi-Furnished,,,
dindoli,1.0,Super Area,600,Resale,Ready to Move,4.0,6.0,Semi-Furnished,,,
amroli,1.0,Carpet Area,396,Resale,Ready to Move,4.0,5.0,Semi-Furnished,,,
dumas road/hazira,1.0,Super Area,1250,Resale,Ready to Move,4.0,4.0,Unfurnished,,,
katargam,1.0,Super Area,650,Resale,Ready to Move,2.0,4.0,Unfurnished,,,
sarthana/varachha,1.0,Super Area,357,Resale,Ready to Move,3.0,4.0,Unfurnished,East,,
kamrej,1.0,Super Area,606,Resale,Undefined,,,Unfurnished,,,
NA,2.0,Carpet Area,650,Resale,Ready to Move,5.0,5.0,Semi-Furnished,,,
punagam,2.0,Super Area,1200,Resale,Ready to Move,3.0,5.0,Unfurnished,,,
sachin,1.0,Carpet Area,400,New Property,Ready to Move,2.0,5.0,Semi-Furnished,East,,
NA,2.0,Super Area,715,Resale,Ready to Move,4.0,5.0,Unfurnished,,,
NA,1.0,Super Area,10,Resale,Ready to Move,-1.0,1.0,Furnished,,,
NA,2.0,Carpet Area,1037,Resale,Ready to Move,3.0,5.0,Semi-Furnished,,,
althan,2.0,Carpet Area,650,Resale,Ready to Move,5.0,13.0,Unfurnished,,,
sachin,3.0,Super Area,1400,Resale,Ready to Move,4.0,5.0,Unfurnished,,,
bardoli,1.0,Super Area,647,Resale,Ready to Move,3.0,4.0,Unfurnished,,,
palanpur,2.0,Super Area,1011,Resale,Ready to Move,4.0,6.0,Unfurnished,,,
dindoli,2.0,Super Area,1180,Resale,Ready to Move,4.0,6.0,Unfurnished,,,
amroli,2.0,Super Area,1000,Resale,Ready to Move,1.0,5.0,Unfurnished,,,
sachin,1.0,Super Area,602,Resale,Ready to Move,3.0,6.0,Unfurnished,,,
katargam,1.0,Carpet Area,1050,Resale,Ready to Move,2.0,5.0,Unfurnished,East,,
althan,3.0,Super Area,1150,Resale,Ready to Move,3.0,3.0,Unfurnished,,,
amroli,1.0,Super Area,615,Resale,Ready to Move,3.0,3.0,Unfurnished,,,
amroli,1.0,Super Area,726,Resale,Ready to Move,3.0,6.0,Unfurnished,,,
katargam,1.0,Super Area,400,Resale,Ready to Move,3.0,5.0,Unfurnished,,,
sachin,3.0,Super Area,1360,Resale,Ready to Move,4.0,5.0,Unfurnished,,,
dindoli,1.0,Carpet Area,645,New Property,Ready to Move,14.0,14.0,Unfurnished,West,,
udhna,2.0,Carpet Area,1000,Resale,Ready to Move,3.0,3.0,Unfurnished,,,
kamrej,1.0,Carpet Area,611,Resale,Ready to Move,2.0,5.0,Unfurnished,,,
NA,2.0,Carpet Area,500,Resale,Ready to Move,-2.0,2.0,Furnished,,,
NA,1.0,Carpet Area,450,,Ready to Move,2.0,5.0,Unfurnished,,,
althan,2.0,Super Area,1000,Resale,Ready to Move,10.0,14.0,Unfurnished,,,
sarthana/varachha,1.0,Super Area,400,Resale,Ready to Move,4.0,5.0,Unfurnished,,,
NA,1.0,Carpet Area,427,Resale,Ready to Move,5.0,5.0,Unfurnished,,,
athwalines,2.0,Super Area,900,Resale,Ready to Move,3.0,5.0,Semi-Furnished,,,
kamrej,2.0,Carpet Area,750,Resale,Ready to Move,5.0,5.0,Unfurnished,,,
adajan,1.0,Carpet Area,600,Resale,Ready to Move,3.0,4.0,Unfurnished,,,
kamrej,1.0,Carpet Area,480,Resale,Ready to Move,3.0,5.0,Unfurnished,North - West,,
kamrej,2.0,Super Area,1197,Resale,Ready to Move,3.0,5.0,Unfurnished,,,
kamrej,1.0,Super Area,775,Resale,Ready to Move,2.0,4.0,Unfurnished,,,
athwalines,1.0,Super Area,750,Resale,Ready to Move,1.0,5.0,Unfurnished,,,
katargam,1.0,Super Area,450,Resale,Ready to Move,2.0,3.0,Unfurnished,,,
palanpur,1.0,Carpet Area,1000,Resale,Ready to Move,4.0,5.0,Semi-Furnished,West,,
dumas road/hazira,1.0,Carpet Area,700,Resale,Ready to Move,3.0,8.0,Semi-Furnished,East,,
vesu,1.0,Super Area,550,Resale,Ready to Move,9.0,11.0,Unfurnished,,,
NA,1.0,Carpet Area,645,Resale,Ready to Move,3.0,5.0,Furnished,,,
amroli,2.0,Super Area,1200,Resale,Ready to Move,2.0,5.0,,,,
vesu,2.0,Super Area,1500,Resale,Ready to Move,7.0,10.0,Furnished,,,
NA,1.0,Super Area,550,Resale,Ready to Move,1.0,5.0,Unfurnished,,,
amroli,2.0,Super Area,1102,Resale,Ready to Move,4.0,5.0,Unfurnished,,,
katargam,1.0,Carpet Area,650,Resale,Ready to Move,2.0,3.0,Semi-Furnished,,,
NA,2.0,Super Area,1000,Resale,Ready to Move,3.0,4.0,Semi-Furnished,,,
NA,2.0,Super Area,1151,Resale,Ready to Move,4.0,5.0,Unfurnished,,,
nanpura/gopipura/chauta/sagrampura,2.0,Super Area,900,Resale,Ready to Move,1.0,9.0,Semi-Furnished,,,
amroli,1.0,Carpet Area,650,,Ready to Move,3.0,5.0,Semi-Furnished,,,
amroli,2.0,Carpet Area,999,Resale,Ready to Move,7.0,13.0,Semi-Furnished,North - East,,
dumas road/hazira,2.0,Super Area,1100,Resale,Ready to Move,2.0,5.0,Unfurnished,,,
sachin,1.0,Super Area,550,Resale,Ready to Move,2.0,5.0,Unfurnished,,,
althan,2.0,Super Area,1280,Resale,Ready to Move,11.0,13.0,Unfurnished,,,
NA,2.0,Super Area,900,Resale,Ready to Move,2.0,5.0,Unfurnished,,,
NA,2.0,Carpet Area,700,Resale,Ready to Move,2.0,2.0,Unfurnished,East,,
NA,1.0,Carpet Area,500,Resale,Ready to Move,1.0,5.0,Semi-Furnished,,,
udhna,1.0,Super Area,750,Resale,Ready to Move,7.0,7.0,Semi-Furnished,,,
palanpur,1.0,Super Area,750,Resale,Ready to Move,2.0,12.0,,,,
katargam,2.0,Carpet Area,1200,Resale,Ready to Move,4.0,4.0,Unfurnished,,,
amroli,2.0,Carpet Area,961,Resale,Ready to Move,3.0,5.0,Semi-Furnished,,,
udhna,1.0,Super Area,500,Resale,Ready to Move,13.0,14.0,Unfurnished,West,,
dindoli,1.0,Super Area,740,Resale,Ready to Move,3.0,5.0,Unfurnished,,,
vesu,1.0,Carpet Area,550,Resale,Ready to Move,5.0,12.0,Unfurnished,,,
dindoli,2.0,Carpet Area,1160,Resale,Ready to Move,1.0,5.0,Unfurnished,,,
vesu,1.0,Carpet Area,450,Resale,Ready to Move,1.0,5.0,Unfurnished,,,
adajan,2.0,Super Area,1300,Resale,Ready to Move,1.0,4.0,Semi-Furnished,,,
NA,2.0,Super Area,987,Resale,Ready to Move,2.0,4.0,Semi-Furnished,,,
NA,2.0,Super Area,1100,Resale,Ready to Move,2.0,5.0,Semi-Furnished,,,
NA,1.0,Super Area,460,Resale,Ready to Move,1.0,5.0,Unfurnished,,,
udhna,2.0,Super Area,1500,Resale,Ready to Move,3.0,5.0,Semi-Furnished,,,
vesu,4.0,Super Area,2885,Resale,Ready to Move,,,,,,
punagam,1.0,Carpet Area,200,Resale,Undefined,-2.0,1.0,Semi-Furnished,,,
amroli,2.0,Super Area,800,Resale,Ready to Move,3.0,5.0,Unfurnished,,,
kamrej,1.0,Super Area,756,Resale,Ready to Move,4.0,5.0,Semi-Furnished,,,
katargam,1.0,Carpet Area,1,Resale,Ready to Move,1.0,3.0,Unfurnished,North - East,,
palanpur,2.0,Super Area,1180,New Property,Undefined,,,Unfurnished,,3751.0,0.44
palanpur,2.0,Super Area,1251,New Property,Ready to Move,5.0,14.0,Unfurnished,East,3800.0,0.47
dindoli,3.0,Carpet Area,760,New Property,Under Construction,8.0,10.0,Unfurnished,West,2878.0,0.4
palanpur,2.0,Super Area,1351,New Property,Under Construction,6.0,14.0,Unfurnished,East,4351.0,0.59
jahangirpura,2.0,Carpet Area,748,New Property,Under Construction,6.0,13.0,Unfurnished,East,3235.0,0.44
pal,2.0,Super Area,1283,New Property,Under Construction,6.0,13.0,Unfurnished,South -West,4551.0,0.58
pal,2.0,Super Area,1127,Resale,Under Construction,4.0,19.0,Unfurnished,East,3949.0,0.45
palanpur,3.0,Carpet Area,925,New Property,Under Construction,3.0,14.0,Unfurnished,East,3400.0,0.57
palanpur,2.0,Super Area,1311,New Property,Under Construction,5.0,13.0,Unfurnished,East,4251.0,0.56
dindoli,3.0,Super Area,1735,Resale,Under Construction,7.0,14.0,Unfurnished,East,2854.0,0.49
palanpur,2.0,Carpet Area,965,Resale,Ready to Move,6.0,12.0,Semi-Furnished,South -West,3612.0,0.45
dindoli,1.0,Super Area,810,New Property,Under Construction,4.0,7.0,Unfurnished,North - East,2444.0,0.2
athwalines,2.0,Super Area,1200,Resale,Ready to Move,4.0,7.0,Unfurnished,,3750.0,0.45
pal,3.0,Carpet Area,1450,Resale,Ready to Move,6.0,13.0,Semi-Furnished,East,3824.0,0.65
jahangirpura,2.0,Carpet Area,813,New Property,Ready to Move,10.0,14.0,Unfurnished,East,3311.0,0.39
pal,2.0,Carpet Area,691,New Property,Ready to Move,,,Unfurnished,East,3999.0,0.46
palanpur,3.0,Super Area,1598,New Property,Ready to Move,6.0,14.0,Unfurnished,South -West,3317.0,0.53
althan,2.0,Super Area,1305,New Property,Under Construction,5.0,12.0,Unfurnished,East,3678.0,0.48
NA,2.0,Super Area,1105,Resale,Ready to Move,9.0,14.0,Unfurnished,South -West,3842.0,0.42
